index,cos_value
1226,0.58952135
1227,0.58890164
1228,0.58828157
1229,0.58766115
1230,0.58704042
1231,0.58641928
1232,0.58579785
1233,0.58517605
1234,0.58455396
1235,0.58393145
1236,0.58330864
1237,0.58268547
1238,0.58206201
1239,0.58143812
1240,0.58081394
1241,0.58018941
1242,0.57956457
1243,0.57893932
1244,0.57831377
1245,0.57768786
1246,0.57706165
1247,0.57643515
1248,0.57580823
1249,0.57518095
1250,0.57455337
1251,0.57392544
1252,0.57329720
1253,0.57266855
1254,0.57203966
1255,0.57141036
1256,0.57078075
1257,0.57015079
1258,0.56952053
1259,0.56888992
1260,0.56825894
1261,0.56762767
1262,0.56699604
1263,0.56636411
1264,0.56573182
1265,0.56509918
1266,0.56446624
1267,0.56383294
1268,0.56319934
1269,0.56256539
1270,0.56193113
1271,0.56129652
1272,0.56066155
1273,0.56002629
1274,0.55939066
1275,0.55875480
1276,0.55811858
1277,0.55748194
1278,0.55684507
1279,0.55620784
1280,0.55557024
1281,0.55493236
1282,0.55429411
1283,0.55365556
1284,0.55301672
1285,0.55237752
1286,0.55173796
1287,0.55109817
1288,0.55045795
1289,0.54981750
1290,0.54917663
1291,0.54853553
1292,0.54789406
1293,0.54725224
1294,0.54661018
1295,0.54596770
1296,0.54532498
1297,0.54468191
1298,0.54403853
1299,0.54339480
1300,0.54275078
1301,0.54210639
1302,0.54146177
1303,0.54081678
1304,0.54017150
1305,0.53952587
1306,0.53887993
1307,0.53823364
1308,0.53758711
1309,0.53694022
1310,0.53629297
1311,0.53564548
1312,0.53499764
1313,0.53434950
1314,0.53370100
1315,0.53305221
1316,0.53240311
1317,0.53175372
1318,0.53110397
1319,0.53045398
1320,0.52980363
1321,0.52915293
1322,0.52850199
1323,0.52785069
1324,0.52719909
1325,0.52654719
1326,0.52589500
1327,0.52524251
1328,0.52458966
1329,0.52393651
1330,0.52328306
1331,0.52262932
1332,0.52197528
1333,0.52132088
1334,0.52066624
1335,0.52001125
1336,0.51935595
1337,0.51870036
1338,0.51804447
1339,0.51738828
1340,0.51673174
1341,0.51607496
1342,0.51541781
1343,0.51476049
1344,0.51410282
1345,0.51344478
1346,0.51278645
1347,0.51212782
1348,0.51146889
1349,0.51080966
1350,0.51015013
1351,0.50949031
1352,0.50883019
1353,0.50816977
1354,0.50750899
1355,0.50684798
1356,0.50618666
1357,0.50552505
1358,0.50486314
1359,0.50420094
1360,0.50353843
1361,0.50287557
1362,0.50221246
1363,0.50154907
1364,0.50088537
1365,0.50022143
1366,0.49955711
1367,0.49889255
1368,0.49822769
1369,0.49756250
